mineral_name,formula,ions,note,ns_class,ns_subclass,ns_family,ns_mineral
Apatite Group,A_5_(XO_3-4_)_3_Z,"{""A"":[""Ca^2+^ x 5"",""Sr^2+^ x 5"",""Pb^2+^ x 5"",""Ba^2+^ x 5"",""Mn^2+^ x 5"",""Ce^3+^ x 5"",""Cu^2+^ x 5"",""REE^2+^ x 5"",""Y^3+^ x 5"",""Na^1+^ x 5""],""X1"":[""Si^4+^ x 1(3)"",""P^5+^ x 1(3)"",""B^3+^ x 1(3)"",""As^5+^ x 1(3)"",""C^4+^ x 1(3)"",""Mn^5+^ x 1(3)"",""S^6+^ x 1(3)"",""Al^3+^ x 1(3)"",""Cr^6+^ x 1(3)"",""V^5+^ x 1(3)"",""Ge^4+^ x 1(3)""],""Y1"":[""O^2-^ x 3-4(3)""],""Z"":[""O^2-^"",""(OH)^1-^"",""F^1-^"",""Cl^1-^""]}",Germanate-pyromorphite contains no ions at Z position; Caryocerite and Freyalite can refer to the same material; Bellite and Chromian Mimetite can refer to the same material,,,,
Aphthitalite Group,A_4_(XO_4_)_2_,"{""A"":[""Sr^2+^ x 4"",""Ba^2+^ x 4"",""Na^1+^ x 4"",""REE^3+^ x 4"",""K^1+^ x 4"",""NH_4_^1+^ x 4"",""Mn^2+^ x 4"",""Ca^2+^ x 4"",""Mg^2+^ x 4"",""Ce^3+^ x 4"",""Cu^2+^ x 4""],""X1"":[""S^6+^ x 1(2)"",""P^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""]}",,,,,
Apophyllite Group,ACa_4_(Si_8_O_20_)Z·8H_2_O,"{""A"":[""Na^1+^"",""K^1+^"",""Cs^1+^"",""NH_4_^1+^""],""B"":[""Ca^2+^ x 4""],""X1"":[""Si^4+^ x 8""],""Y1"":[""O^2-^ x 20""],""W"":[""H_2_O x 8""],""Z"":[""OH^1-^"",""F^1-^""]}",,,,,
Aragonite Group,ACO_3_,"{""A"":[""Ca^2+^"",""Sr^2+^"",""Ba^2+^"",""Pb^2+^"",""Zn^2+^"",""Ag^1+^""],""X1"":[""C^4+^""],""Y1"":[""O^2-^ x 3""]}",Chrome-Cerussite also contains Cr^6+^O_4_ anion; Plumboan Aragonite and Tarnowitzite can refer to the same material,,,,
Aramayoite Group,Ag_3_B_3_S_6_,"{""A"":[""Ag^1+^ x 3""],""B"":[""Sb^3+^ x 3"",""Bi^3+^ x 3""],""Y1"":[""S^2-^ x 6""]}",,,,,
Aravaipaite Group,A_3_AlF_9_·0-1H_2_O,"{""A"":[""Ca^2+^ x 3"",""Pb^2+^ x 3""],""X1"":[""Al^3+^""],""Y1"":[""F^1-^ x 9""],""W"":[""H_2_O x 0-1""]}",,,,,
Arcanite Group,A_2_SO_4_,"{""A"":[""NH_4_^1+^ x 2"",""K^1+^ x 2""],""X1"":[""S^6+^""],""Y1"":[""O^2-^ x 4""]}",,,,,
Ardennite Group,A_4_B_4_(MgD)(XO_4_)(SiO_4_)_2_(Si_3_O_10_)(OH)_6_,"{""A"":[""Ca^2+^ x 4"",""Mn^2+^ x 4""],""B"":[""Al^3+^ x 4"",""Mn^3+^ x 4""],""C"":[""Mg^2+^""],""D"":[""Mn^3+^"",""Al^3+^""],""X1"":[""V^5+^"",""As^5+^""],""X2"":[""Si^4+^""],""X3"":[""Si^4+^ x 3""],""Y1"":[""O^2-^ x 4""],""Y2"":[""O^2-^ x 4""],""Y3"":[""O^2-^ x 10""],""Z"":[""OH^1-^ x 6""]}",,,,,
Argyrodite Group,A_8_BY_6_,"{""A"":[""Ag^1+^ x 8"",""Cu^1+^ x 8""],""B"":[""Ge^4+^"",""Sn^4+^"",""As^5+^"",""As^3+^""],""Y1"":[""S^2-^ x 6"",""Te^2-^ x 6""]}",Tellurian Canfieldite and Tellurocanfieldite can refer to the same material,,,,
Arisite Group,NaB_2_(CO_3_)_2_[(CO_3_)_1-x_F_2x_]F,"{""A"":[""Na^1+^""],""B"":[""Ce^3+^ x 2"",""La^3+^ x 2""],""X1"":[""C^4+^ x 1(2)""],""X2"":[""C^4+^ x 1(1-x)""],""Y1"":[""O^2-^ x 3(2)""],""Y2"":[""O^2-^ x 3(1-x)""],""W"":[""F^1-^""],""Z"":[""F^1-^ x 2x""]}",,,,,
Arrojadite Group,A_2-4_B_2-4_AlD_13_(PO_4_)_11_(PY_2_)Z_2_,"{""A"":[""[box]"",""Ba^2+^ x 2-4"",""Ca^2+^ x 2-4"",""Na^1+^ x 2-4"",""K^1+^ x 2-4"",""Pb^2+^ x 2-4"",""Sr^2+^ x 2-4"",""Fe^2+^ x 2-4""],""B"":[""Ca^2+^ x 3-4"",""Na^1+^ x 3-4"",""[box]""],""C"":[""Al^3+^""],""D"":[""Fe^2+^ x 13"",""Mn^2+^ x 13"",""Mg^2+^ x 13""],""X1"":[""P^5+^ x 1(11)""],""X2"":[""P^5+^ x 1(1)""],""Y1"":[""O^2-^ x 3(11)""],""Y2"":[""(OH)^1-^ x 4"",""O^2-^ x 4""]}",,,,,
Arsenic Group,A,"{""A"":[""Bi"",""Sb"",""As""]}",,,,,
Arsenoclasite Group,Mn^2+^_5_(XO_4_)_2_(OH)_4_,"{""A"":[""Mn^2+^ x 5""],""X1"":[""As^5+^ x 1(2)"",""P^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""OH^1-^ x 4""]}",,,,,
Arsenolite Group,A_2_O_3_,"{""A"":[""As^3+^ x 2"",""Sb^3+^ x 2""],""Y1"":[""O^2-^ x 3""]}",,,,,
Arsenopalladinite Group,Pd_5-8_B_2-3_,"{""A"":[""Pd x 5-8""],""B"":[""Sb x 2-3"",""As x 2-3""]}",,,,,
Arsenopyrite Group,A(XS)^3-^,"{""A"":[""Fe^3+^"",""Co^3+^"",""Ru^3+^"",""Os^3+^""],""X1"":[""As"",""Sb""],""Y1"":[""S""]}",,,,,
Arsmirandite Group,Na_18_Cu^2+^_12_CO_8_(As^5+^O_4_)_8_Z_5-6_,"{""A"":[""Na^1+^ x 18""],""B"":[""Cu^2+^ x 12""],""C"":[""Fe^3+^"",""Ti^4+^""],""X1"":[""As^5+^ x 1(8)""],""Y1"":[""O^2-^ x 4(8)""],""Z"":[""Cl^1-^ x 5-6"",""F^1-^ x 5-6""]}",,,,,
Arthurite Group,AB_2_(XO_4_)_2_(OH)_2_·4H_2_O,"{""A"":[""Cu^2+^"",""Fe^2+^"",""Mn^2+^"",""Zn^2+^"",""Co^2+^"",""Mg^2+^""],""B"":[""Fe^3+^ x 2"",""Mn^3+^ x 2"",""Al^3+^ x 2""],""X1"":[""As^5+^ x 1(4)"",""P^5+^ x 1(4)"",""S^6+^ x 1(4)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 4""],""Z"":[""OH^1-^ x 2""]}",Ferroan Arthurite also cotains O replacing OH to maintain charge balance,,,,
Artinite Group,A_1-2_(CO_3_)Z_0.5-2_·2.5-3.75H_2_O,"{""A"":[""Mg^2+^ x 1-2"",""Al^3+^ x 1-2""],""X1"":[""C^4+^""],""Y1"":[""O^2-^ x 3""],""W"":[""H_2_O x 2.5-3.75""],""Z"":[""OH^1-^ x 0.5-2"",""Cl^1-^ x 0.5-2""]}",,,,,
Asisite Group,Pb^2+^_7_BO_8-9_Cl_2_,"{""A"":[""Pb^2+^ x 7""],""B"":[""V^5+^"",""Si^4+^"",""Mo^6+^""],""Y1"":[""O^2-^ x 8-9""],""Z"":[""Cl^1-^ x 2""]}",,,,,
Åskagenite Group,Mn^2+^NdAl_2_Fe^3+^(Si_2_O_7_)(SiO_4_)O_2_,"{""A"":[""Mn^2+^""],""B"":[""Nd^3+^""],""C"":[""Al^3+^ x 2"",""Fe^3+^""],""X1"":[""Si^4+^ x 2""],""X2"":[""Si^4+^""],""Y1"":[""O^2-^ x 7""],""Y2"":[""O^2-^ x 4""],""Z"":[""O^2-^ x 2""]}",,,,,
Astrophyllite Group,A_3_B_5-7_C_2_(Si_4_O_12_)_2_O_2_W_5_(H_2_O)_0-2_,"{""A"":[""K^1+^ x 3"",""Na^1+^ x 3"",""Li^1+^ x 3"",""Ca^2+^ x 3"",""(H_3_O)^1+^ x 3"",""[box]""],""B"":[""Fe^2+^ x 5-7"",""Mn^2+^ x 5-7""],""C"":[""Ti^4+^ x 2"",""Nb^5+^ x 2"",""Zr^4+^ x 2""],""X1"":[""Si^4+^ x 4(2)""],""Y1"":[""O^2-^ x 12(2)""],""V"":[""H_2_O x 0-2""],""W"":[""(OH)^1-^ x 5"",""F^1-^ x 5"",""O^2-^ x 5""],""Z"":[""O^2-^ x 2""]}",,,,,
Atacamite Group,A_2_(OH)_3_Z or Cu^3+^_3_B(OH)_6_Z_2_,"{""A"":[""Cu^2+^ x 1 or 3"",""Mn^2+^ x 1 or 3"",""Fe^2+^ x 1 or 3""],""B"":[""Mn^2+^"",""Ni^2+^"",""Zn^2+^"",""Co^2+^"",""Mg^2+^"",""Ca^2+^"",""Cu^2+^""],""Y1"":[""OH^1-^ x 3 or 6""],""Z"":[""Cl^1-^ x 1 or 2"",""Br^1-^ x 1 or 2""]}",Centennialite contains minor non-bonded water,,,,
Atelestite Group,Bi_2_(XO_4_)O(OH),"{""A"":[""Bi^3+^ x 2""],""X1"":[""P^5+^"",""As^5+^"",""V^5+^""],""Y1"":[""O^2-^ x 4""],""W"":[""OH^1-^""],""Z"":[""O^2-^""]}",,,,,
Aubertite Group,AB(SO_4_)_2_Z·14-18H_2_O,"{""A"":[""Cu^2+^"",""Mg^2+^"",""Mn^2+^"",""Ca^2+^""],""B"":[""Al^3+^"",""Fe^3+^""],""X1"":[""S^6+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 14-18""],""Z"":[""Cl^1-^"",""F^1-^""]}",,,,,
Autunite Group,A(UO_2_)_2_(XO_4_)_2_·6-12H_2_O,"{""A"":[""Ca^2+^"",""Ba^2+^"",""Mg^2+^"",""Fe^2+^"",""Cu^2+^"",""Al^3+^"",""Ni^2+^"",""H^1+^"",""(H_3_O)_2_^2+^""],""B"":[""U^6+^O_2_ x 2""],""X1"":[""P^5+^ x 1(2)"",""As^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 6-12""]}",,,,,
Axinite Group,A_4_B_2_Al_4_(B_2_Si_8_O_30_)(OH)_2_,"{""A"":[""Ca^2+^ x 4"",""Mn^2+^ x 4""],""B"":[""Mn^2+^ x 2"",""Mg^2+^ x 2"",""Fe^2+^ x 2""],""C"":[""Al^3+^ x 4""],""X1"":[""B^3+^ x 2""],""X2"":[""Si^4+^ x 8""],""Y1"":[""O^2-^ x 30""],""Z"":[""OH^1-^ x 2""]}",,,,,
Baddeleyite Group,AO_2_,"{""A"":[""Ti^4+^"",""Zr^4+^""],""Y1"":[""O^2-^ x 2""]}",,,,,
Bafertisite Group,A_8-16_(Si_2_O_7_)_2_Z_2-6_W_0-2_,"{""A"":[""K^1+^ x 8-16"",""Ba^2+^ x 8-16"",""Na^1+^ x 8-16"",""[box]"",""Ti^4+^ x 8-16"",""Nb^5+^ x 8-16"",""Fe^3+^ x 8-16""],""X1"":[""Si^4+^ x 2(2)""],""Y1"":[""O^2-^ x 7(2)""],""W"":[""(CO_3_)^2-^ x 0-2"",""(PO_4_)^3-^ x 0-2""],""Z"":[""O^2-^ x 2-6"",""(OH)^1-^ x 2-6"",""F^1-^ x 2-6"",""H_2_O x 2-6""]}",,,,,
Baratovite Group,KLi_3_Ca_7_C_2_(SiO_3_)_12_Z_2_,"{""A"":[""K^1+^""],""B"":[""Li^1+^ x 3""],""C"":[""Ca^2+^ x 7""],""D"":[""Sn^4+^ x 2"",""Ti^4+^ x 2"",""Zr^4+^ x 2""],""X1"":[""Si^4+^ x 1(12)""],""Y1"":[""O^2-^ x 3(12)""],""Z"":[""OH^1-^ x 2"",""F^1-^ x 2""]}",,,,,
Barringerite Group,A_2_Y,"{""A"":[""Ni x 2"",""Pd x 2"",""Mo x 2"",""Fe x 2""],""Y1"":[""P"",""Si""]}",,,,,
Baryte Group,AXO_4_,"{""A"":[""Pb^2+^"",""Ba^2+^"",""Sr^2+^"",""Ag^1+^""],""X1"":[""S^6+^"",""Cr^6+^"",""Se^6+^""],""Y1"":[""O^2-^ x 4""]}",Celestobarite (of Dana) and Strontian Baryte can refer to the same material; Barian Celestine and Barytosulfate of Strontian can refer to the same material,,,,
Barytocalcite Group,,,,,,,
Bastnäsite Group,A(CO_3_)Z,"{""A"":[""Ce^3+^"",""Ba^2+^"",""Th^4+^"",""Ca^2+^"",""La^3+^"",""Nd^3+^"",""Y^3+^""],""X1"":[""C^4+^""],""Y1"":[""O^2-^ x 3""],""Z"":[""F^1-^"",""OH^1-^""]}",Thorbastnäsite also contains non-bonded water,,,,
Batisite Group,ANaCD_2_(Si_4_O_12_)O_2_,"{""A"":[""K^1+^"",""Na^1+^""],""B"":[""Na^1+^""],""C"":[""Ba^2+^"",""K^1+^""],""D"":[""Ti^4+^ x 2"",""Nb^5+^ x 2""],""X1"":[""Si^4+^ x 4""],""Y1"":[""O^2-^ x 12""],""Z"":[""O^2-^ x 2""]}",,,,,
Belovite Group,A_5_(PO_4_)_3_Z,"{""A"":[""Na^1+^ x 5"",""Sr^2+^ x 5"",""Ca^2+^ x 5"",""Ce^3+^ x 5"",""La^3+^ x 5"",""Nd^3+^ x 5"",""REE^3+^ x 5"",""Ba^2+^ x 5""],""X1"":[""P^5+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""],""Z"":[""Cl^1-^"",""F^1-^"",""OH^1-^""]}",,,,,
Benitoite Group,ABSi_3_O_9_,"{""A"":[""Ba^2+^"",""K_2_^2+^""],""B"":[""Ti^4+^"",""Zr^4+^"",""Sn^4+^""],""X1"":[""Si^4+^ x 3""],""Y1"":[""O^2-^ x 9""]}",,,,,
Beraunite Group,AB_5_(PO_4_)_4_Z_5_·6H_2_O,"{""A"":[""Fe^2+^"",""Fe^3+^"",""Zn^2+^""],""B"":[""Fe^3+^ x 5"",""Al^3+^ x 5""],""X1"":[""P^5+^ x 1(4)""],""Y1"":[""O^2-^ x 4(4)""],""W"":[""H_2_O x 6""],""Z"":[""(OH)^1-^ x 5"",""O^2-^ x 5""]}",,,,,
Berdesinskiite Group,A_2_BO_5_,"{""A"":[""V^3+^ x 2"",""Ti^3+^ x 2""],""B"":[""V^4+^"",""Ti^4+^""],""Y1"":[""O^2-^ x 5""]}",,,,,
Berthierite Group,AB_2_S_4_,"{""A"":[""Fe^2+^"",""Mn^2+^""],""B"":[""Sb^3+^ x 2"",""Bi^3+^ x 2""],""Y1"":[""S^2-^ x 4""]}",,,,,
Beryl Group,A_2-3_B_2-3_(X_6_O_18_),"{""A"":[""Fe^3+^ x 2-3"",""Mg^2+^ x 2-3"",""Na^1+^ x 2-3"",""Cs^1+^ x 2-3"",""Fe^2+^ x 2-3"",""Li^1+^ x 2-3"",""Sc^3+^ x 2-3"",""Be^2+^ x 2-3""],""B"":[""Al^3+^ x 2-3"",""Be^2+^ x 2-3"",""B^3+^ x 2-3"",""Cr^3+^ x 2-3""],""X1"":[""Si^4+^ x 6"",""Al^3+^ x 6""],""Y1"":[""O^2-^ x 18""]}",Stoppaniite also contains non-bonded water,,,,
Beryllonite Group,AB_2_C(XO_4_)_3_ or AC(XO_4_ ),"{""A"":[""Na^1+^"",""Pb^2+^"",""Ca^2+^""],""B"":[""Ca^2+^ x 2"",""Mn^2+^ x 2""],""C"":[""Be^2+^"",""Zn^2+^"",""Al^3+^"",""B^3+^""],""X1"":[""P^5+^ x 1(3) or 1(1)"",""Si^4+^ x 1(3) or 1(1)"",""Al^3+^ x 1(3) or 1(1)""],""Y1"":[""O^2-^ x 4(3) or 4(1)""]}",,,,,
Berzelianite Group,,,,,,,
Berzelianite-Umangite Group,Cu_2.88-3_Se_2_,"{""A"":[""Cu^2+^ x 2.88-3""],""Y1"":[""Se^2-^ x 2""]}",,,,,
Berzeliite Group,A_3_B_2_(XO_4_)_3_,"{""A"":[""Na^1+^ x 3"",""Ca^2+^ x 3""],""B"":[""Mg^2+^ x 2"",""Mn^2+^ x 2"",""Ca^2+^ x 2""],""X1"":[""As^5+^ x 1(3)"",""V^5+^ x 1(3)"",""Sb^5+^ x 1(3)"",""Si^4+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""]}",,,,,
Betafite Group,A_2_B_2_O_6_O,"{""A"":[""Ca^2+^ x 2"",""[box]"",""U^4+^ x 2""],""B"":[""Nb^5+^ x 2"",""Ti^4+^ x 2""],""Y1"":[""O x 6""],""Z"":[""O^2-^""]}",,,,,
Betpakdalite Group,[A_2_(H_2_O)_16-17_B(H_2_O)_6_][Mo_8_As_2_Fe^3+^_3_Y_37_],"{""A"":[""Na^1+^ x 2"",""Ca^2+^ x 2"",""Fe^3+^ x 2""],""B"":[""Ca^2+^"",""Mg^2+^"",""Na^1+^"",""Fe^3+^""],""C"":[""Mo^6+^ x 8""],""D"":[""As^5+^ x 2""],""E"":[""Fe^3+^ x 3""],""Y1"":[""O^2-^ x 37"",""(OH)^1-^ x 37""],""V"":[""H_2_O x 6""],""W"":[""H_2_O x 16-17""]}",,,,,
Beudantite Group,AB_3_(XO_4_)(SO_4_)(OH)_6_,"{""A"":[""Ca^2+^"",""Ba^2+^"",""Sr^2+^"",""Pb^2+^"",""Cu^2+^""],""B"":[""Fe^3+^ x 3"",""Al^3+^ x 3"",""Ga^3+^ x 3""],""X1"":[""As^5+^"",""P^5+^""],""X2"":[""S^6+^""],""Y1"":[""O^2-^ x 4""],""Y2"":[""O^2-^ x 4""],""Z"":[""OH^1-^ x 6""]}",,,,,
Biphosphammite Group,H_2_BPO_4_,"{""A"":[""H^1+^ x 2""],""B"":[""NH_4_^1+^"",""K^1+^""],""X1"":[""P^5+^""],""Y1"":[""O^2-^ x 4""]}",,,,,
Birnessite Group,"A_0.8-1.2_(Mn^4+^,Mn^3+^)_4_O_8-9_·1-3H_2_O","{""A"":[""Na^1+^ x 0.8-1.2"",""Ca^2+^ x 0.8-1.2"",""K^1+^ x 0.8-1.2"",""Mn^2+^ x 0.8-1.2""],""B"":[""Mn^3+^ x 4"",""Mn^4+^ x 4""],""Y1"":[""O^2-^ x 8-9""],""W"":[""H_2_O x 1-3""]}",,,,,
Bismutite Group,Ca_0-2_Bi_2_O_2_(CO_3_)_1-2_Z_0-2_,"{""A"":[""Ca^2+^ x 0-2""],""B"":[""Bi^3+^ x 2""],""X1"":[""C^4+^ x 1(1)-1(2)""],""Y1"":[""O^2-^ x 3(1)-3(2)""],""Z"":[""F^1-^ x 0-2""]}",Hydrobismutite also contains water,,,,
Bitikleite Group,Ca_3_B_2_(XO_4_)_3_,"{""A"":[""Ca^2+^ x 3""],""B"":[""Sb^5+^ x 2"",""Sn^4+^ x 2"",""Zr^4+^ x 2"",""U^6+^ x 2""],""X1"":[""Fe^3+^ x 1(3)"",""Al^3+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""]}",,,,,
Bixbyite Group,A_2_O_3_,"{""A"":[""Tl^3+^"",""Mn^3+^"",""Sc^3+^"",""Ti^4+^"",""Al^3+^"",""Zr^4+^"",""Mg^2+^"",""Ca^2+^"",""[box]"",""Y^3+^""],""Y1"":[""O^2-^ x 3""]}",,,,,
Bjarebyite Group,AB_2_C_2_(PO_4_)_3_(OH)_3_,"{""A"":[""Ba^2+^"",""Sr^2+^"",""Pb^2+^""],""B"":[""Fe^2+^ x 2"",""Mn^2+^ x 2"",""Mg^2+^ x 2"",""Ca^2+^ x 2""],""C"":[""Al^3+^ x 2"",""Fe^3+^ x 2""],""X1"":[""P^5+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""],""Z"":[""OH^1-^ x 3""]}",,,,,
Blödite Group,A_2_B(SO_4_)_2_.4H_2_O,"{""A"":[""Na^1+^ x 2"",""K^1+^ x 2""],""B"":[""Ni^2+^"",""Mg^2+^"",""Mn^2+^"",""Zn^2+^"",""Co^2+^""],""X1"":[""S^6+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""]}",,,,,
Bobfergusonite Group,ANa_2_C_5_DAl(PO_4_)_6_,"{""A"":[""Na^1+^"",""[box]""],""B"":[""Na^1+^""],""C"":[""Fe^2+^ x 5"",""Mn^2+^ x 5""],""D"":[""Fe^3+^"",""Mg^2+^""],""E"":[""Al^3+^""],""X1"":[""P^5+^ x 1(6)""],""Y1"":[""O^2-^ x 4(6)""]}",,,,,
Boracite Group,A_3_(B_7_O_13_)Z,"{""A"":[""Mn^2+^ x 3"",""Fe^2+^ x 3"",""Mg^2+^ x 3""],""X1"":[""B^2+^ x 7""],""Y1"":[""O^2-^ x 13""],""Z"":[""Cl^1-^"",""Br^1-^""]}",,,,,
Borax Group,,,,,,,
Botryogen Group,AFe^3+^(SO_4_)_2_(OH)·7H_2_O,"{""A"":[""Mg^2+^"",""Mn^2+^"",""Zn^2+^""],""B"":[""Fe^3+^""],""X1"":[""S^6+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 7""],""Z"":[""OH^1-^ x 7""]}",,,,,
Bottinoite Group,ASb^5+^_2_(OH)_12_·6H_2_O,"{""A"":[""Ni^2+^"",""Mg^2+^""],""B"":[""Sb^5+^ x 2""],""Y1"":[""OH^1-^ x 12""],""W"":[""H_2_O x 6""]}",,,,,
Bournonite Group,CuPbXY_3_,"{""A"":[""Cu^1+^""],""B"":[""Pb^2+^""],""X1"":[""Sb^3+^"",""As^3+^"",""Bi^3+^""],""Y1"":[""S^2-^ x 3"",""Se^2-^ x 3""]}",,,,,
Bowieite Group,A_2_S_3_,"{""A"":[""Ir^3+^ x 2"",""Rh^3+^ x 2"",""Pt^3+^ x 2""],""Y1"":[""S^2-^ x 3""]}",,,,,
Brackebuschite Group,A_2_B(XO_4_)_2_Z,"{""A"":[""Ba^2+^ x 2"",""Ca^2+^ x 2"",""Pb^2+^ x 2"",""Sr^2+^ x 2""],""B"":[""Cu^2+^"",""Fe^3+^"",""Mn^3+^"",""Zn^2+^"",""Al^3+^""],""X1"":[""As^5+^ x 1(2)"",""P^5+^ x 1(2)"",""S^6+^ x 1(2)"",""V^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""(OH)^1-^"",""H_2_O""]}",,,,,
Bradleyite Group,Na_3_B(PO_4_)(CO_3_),"{""A"":[""Na^1+^ x 3""],""B"":[""Fe^2+^"",""Mn^2+^"",""Mg^2+^"",""Sr^2+^""],""X1"":[""P^5+^""],""X2"":[""C^4+^""],""Y1"":[""O^2-^ x 4""],""Y2"":[""O^2-^ x 3""]}",,,,,
Brannerite Group,AB_2_Y_6-7_,"{""A"":[""U^4+^"",""Th^4+^"",""Ca^2+^"",""U^6+^""],""B"":[""Ti^4+^ x 2""],""Y1"":[""O^2-^ x 6-7"",""(OH)^1-^ x 6-7""]}",,,,,
Braunite Group,AB_6_(SiO_4_)O_8_,"{""A"":[""Ca^2+^"",""Mn^2+^"",""Cu^2+^"",""Zr^4+^""],""B"":[""Mn^2+^ x 6"",""Mn^3+^ x 6""],""X1"":[""Si^4+^""],""Y1"":[""O^2-^ x 4""],""Z"":[""O^2-^ x 8""]}",Braunite-II exhibits different stoichiometry,,,,
Britholite Group,A_5_(XO_4_)_3_Z,"{""A"":[""Ca^2+^ x 5"",""Ce^3+^ x 5"",""Y^3+^ x 5"",""La^3+^ x 5"",""Al^3+^ x 5"",""Fe^3+^ x 5"",""Na^1+^ x 5"",""Th^4+^ x 5""],""X1"":[""Si^4+^ x 1(3)"",""P^5+^ x 1(3)"",""B^3+^ x 1(3)"",""Al^3+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""],""Z"":[""O^2-^"",""(OH)^1-^"",""F^1-^""]}","Cefluosil is a PO_4_-free variety of Britholite-(Ce), but currently PO_4_ is not listed in the formula of Britholite-(Ce)",,,,
Brittle Mica Group,AB_3_(X_4_O_10_)Z_2_,"{""A"":[""Ba^2+^"",""K^1+^"",""Ca^2+^"",""Na^1+^""],""B"":[""Fe^2+^ x 2-3"",""Fe^3+^ x 2-3"",""Mg^2+^ x 2-3"",""Al^3+^ x 2-3"",""Li^1+^ x 2-3"",""Ti^4+^ x 2-3""],""X1"":[""Al^3+^ x 4"",""Si^4+^ x 4"",""Fe^3+^ x 4"",""Be^2+^ x 4""],""Y1"":[""O^2-^ x 10""],""Z"":[""Cl^1-^ x 2"",""S^2-^ x 2"",""(OH)^1-^ x 2"",""O^2-^ x 2"",""F^1-^ x 2""]}",,,,,
Brochantite Group,Cu_4_(XO_4_)(OH)_6_,"{""A"":[""Cu^2+^ x 4""],""X1"":[""Se^6+^"",""S^6+^""],""Y1"":[""O^2-^ x 4""],""Z"":[""OH^1-^ x 6""]}",,,,,
Brucite Group,A(OH)_2_,"{""A"":[""Mg^2+^"",""Fe^2+^"",""Mn^2+^"",""Ca^2+^"",""Ni^2+^""],""Y1"":[""OH^1-^ x 2""]}",,,,,
Buckhornite Group,(A_3_S_3_)(AuZ_2_),"{""A"":[""Pb x 3"",""Bi x 3""],""B"":[""Au""],""Y1"":[""S x 3""],""Z"":[""Te x 2"",""S x 2""]}",,,,,
Bukovite Group,"A_2_(Cu,Fe)_4_Y_4_","{""A"":[""Tl x 2"",""K x 2""],""B"":[""Cu x 4"",""Fe x 4""],""Y1"":[""S x 4"",""Se x 4""]}",,,,,
Burbankite Group,A_3_B_3_(CO_3_)_5_,"{""A"":[""Na^1+^ x 3"",""Ca^2+^ x 3""],""B"":[""Ca^2+^ x 3"",""Ce^3+^ x 3"",""Sr^2+^ x 3"",""La^3+^ x 3"",""Ba^2+^ x 3"",""Nd^3+^ x 3"",""Na^1+^ x 3""],""X1"":[""C^4+^ x 1(5)""],""Y1"":[""O^2-^ x 3(5)""]}",,,,,
Burgessite Group,A_2_(As^5+^O_3_OH)_2_·5H_2_O,"{""A"":[""Ni^2+^ x 2"",""Co^2+^ x 2""],""X1"":[""As^5+^ x 1(2)""],""Y1"":[""O^2-^ x 3(2)""],""Y2"":[""OH^1-^ x 1(2)""],""W"":[""H_2_O x 5""]}",,,,,
Bussyite Group,"A_3_B_6_Mn^2+^[Si_9_Be_5_(O,F,OH)_34_]","{""A"":[""Y^3+^"",""REE^3+^"",""Ca^2+^"",""Ce^3+^""],""B"":[""Na^1+^ x 6"",""Ca^2+^ x 6"",""H_2_O x 6""],""C"":[""Mn^2+^""],""X1"":[""Si^4+^ x 9""],""X2"":[""Be^2+^ x 5""],""Y1"":[""O^2-^ x 34"",""(OH)^1-^ x 34"",""F^1-^ x 34""]}",,,,,
Byströmite Group,ASb^5+^_2_O_6_,"{""A"":[""Mg^2+^"",""Zn^2+^"",""Ni^2+^""],""B"":[""Sb^5+^ x 2""],""Y1"":[""O^2-^ x 6""]}",,,,,
Calaverite Group,A_2_Te_4_,"{""A"":[""Au x 2"",""Ag x 2"",""Cu x 2""],""Y1"":[""Te x 2""]}",,,,,
Calcioferrite Group,Ca_4_BC_4_(PO_4_)_6_(OH)_4_·12H_2_O,"{""A"":[""Ca^2+^ x 4""],""B"":[""Fe^2+^"",""Mg^2+^"",""Mn^2+^""],""C"":[""Al^3+^ x 4"",""Fe^3+^ x 4""],""X1"":[""P^5+^ x 1(6)""],""Y1"":[""O^2-^ x 4(6)""],""W"":[""H_2_O x 12""],""Z"":[""OH^1-^ x 4""]}",,,,,
